1.24353,0.848038,0.629358,0.463927,0.491201,0.290249,0.312211,0.183292,0.188101,0.09133,0.105666,0.0858037
2.0507,1.05903,0.633725,0.472304,0.473354,0.172225,-0.00525701,-0.116305,-0.0421135,-0.0908728,-0.0961485,-0.12703
1.99846,0.281023,0.118122,0.176373,0.525336,0.500399,0.325832,0.0346136,0.145149,-0.0179719,-0.0490514,0.0538013
2.47728,0.538178,0.537571,0.292823,-0.0354241,-0.151592,0.111066,0.114664,-0.0171571,0.0440917,0.0646645,-0.00930407
1.71267,1.10715,0.809384,0.571778,0.523698,0.264856,0.209541,0.0486964,0.0397897,-0.0184743,0.0435131,-0.0159753
1.80411,0.21876,0.238579,0.0956894,0.234827,0.00211098,-0.00575555,0.0305996,0.151402,-0.0853274,-0.174154,-0.124749
2.30371,0.0766697,-0.0594253,0.445462,0.607585,0.242889,0.191106,0.22937,0.0431623,-0.146656,-0.176565,0.0118936
-0.047708,-0.296916,0.354892,0.0364873,0.151948,0.0681661,0.102718,0.0224371,-0.0268086,-0.0700187,0.0422309,0.0397411
1.22151,0.351059,0.438371,0.428675,0.310303,0.151411,0.403711,0.221856,0.120454,0.0104515,0.0801047,0.0916879
1.98808,0.931506,0.558021,0.53992,0.571095,0.129125,-0.160346,-0.212084,-0.0626581,-0.108715,-0.137498,-0.222516
1.99478,0.60811,0.238299,0.135746,0.307416,0.177306,0.305178,0.278532,0.180122,-0.0254758,-0.0794277,-0.0321866
1.03124,0.341373,0.267075,0.120287,0.273502,0.0192167,0.0835121,-0.00610962,0.0593128,0.0464917,0.0406011,0.00747237
1.87158,1.05459,0.670245,0.48556,0.48593,0.0640518,0.0410894,-0.0230032,0.111694,0.0113325,-0.0275286,-0.0163357
2.55132,0.75095,0.400624,0.171662,0.015933,-0.110977,-0.118508,-0.181243,0.096973,-0.064961,-0.171303,-0.127847
2.20595,0.52791,0.155449,0.175018,0.407911,0.199887,0.163503,0.11773,0.0221082,-0.155656,-0.151622,-0.0649038
-0.0806077,0.240098,0.216698,-0.119689,0.00542652,-0.0370658,0.107456,-0.0374779,0.106897,-0.11175,0.0361911,0.0125524
